reidin_tr7
100.00
100.30
101.50
102.40
103.20
103.50
103.10
102.80
103.30
103.50
103.20
100.70
98.00
95.90
94.80
93.40
91.70
89.40
88.70
87.40
86.50
85.30
85.80
87.30
88.70
89.70
90.20
90.80
91.00
91.20
91.10
91.30
91.70
92.00
91.90
91.80
92.10
92.20
92.30
92.60
92.90
93.14
93.54
94.17
94.90
95.20
95.40
95.70
96.40
97.20
97.70
98.40
99.21
99.94
100.80
101.70
102.50
103.50
104.30
105.50
106.70
109.30
111.90
114.50
116.00
117.10
118.30
119.10
119.30
120.10
120.90
122.00
123.60
125.70
127.50
129.30
130.90
132.70
134.40
136.30
137.90
139.40
141.40
142.90
144.70
146.70
148.80
151.30
153.70
155.40
157.10
158.40
160.20
162.20
164.20
166.50
168.70
170.90
173.30
