dateRep,cases,deaths,countriesAndTerritories
24/03/2020,0,0,Cote_dIvoire
23/03/2020,8,0,Cote_dIvoire
22/03/2020,3,0,Cote_dIvoire
21/03/2020,5,0,Cote_dIvoire
20/03/2020,3,0,Cote_dIvoire
19/03/2020,1,0,Cote_dIvoire
18/03/2020,0,0,Cote_dIvoire
17/03/2020,1,0,Cote_dIvoire
16/03/2020,0,0,Cote_dIvoire
15/03/2020,3,0,Cote_dIvoire
12/03/2020,1,0,Cote_dIvoire
06/04/2020,56,3,Croatia
05/04/2020,47,4,Croatia
04/04/2020,68,1,Croatia
03/04/2020,48,1,Croatia
02/04/2020,96,0,Croatia
01/04/2020,77,0,Croatia
31/03/2020,77,0,Croatia
30/03/2020,56,1,Croatia
29/03/2020,71,2,Croatia
28/03/2020,91,1,Croatia
27/03/2020,77,1,Croatia
26/03/2020,36,0,Croatia
25/03/2020,76,1,Croatia
24/03/2020,71,0,Croatia
23/03/2020,29,0,Croatia
22/03/2020,80,0,Croatia
21/03/2020,22,0,Croatia
20/03/2020,23,0,Croatia
19/03/2020,12,0,Croatia
18/03/2020,13,0,Croatia
17/03/2020,8,0,Croatia
16/03/2020,11,0,Croatia
15/03/2020,6,0,Croatia
14/03/2020,6,0,Croatia
13/03/2020,9,0,Croatia
12/03/2020,3,0,Croatia
11/03/2020,1,0,Croatia
08/03/2020,1,0,Croatia
07/03/2020,1,0,Croatia
06/03/2020,1,0,Croatia
04/03/2020,1,0,Croatia
03/03/2020,1,0,Croatia
02/03/2020,2,0,Croatia
01/03/2020,0,0,Croatia
29/02/2020,2,0,Croatia
28/02/2020,1,0,Croatia
27/02/2020,1,0,Croatia
26/02/2020,1,0,Croatia
25/02/2020,0,0,Croatia
24/02/2020,0,0,Croatia
23/02/2020,0,0,Croatia
22/02/2020,0,0,Croatia
21/02/2020,0,0,Croatia
20/02/2020,0,0,Croatia
19/02/2020,0,0,Croatia
18/02/2020,0,0,Croatia
17/02/2020,0,0,Croatia
16/02/2020,0,0,Croatia
15/02/2020,0,0,Croatia
14/02/2020,0,0,Croatia
13/02/2020,0,0,Croatia
12/02/2020,0,0,Croatia
11/02/2020,0,0,Croatia
10/02/2020,0,0,Croatia
09/02/2020,0,0,Croatia
08/02/2020,0,0,Croatia
07/02/2020,0,0,Croatia
06/02/2020,0,0,Croatia
05/02/2020,0,0,Croatia
04/02/2020,0,0,Croatia
03/02/2020,0,0,Croatia
02/02/2020,0,0,Croatia
01/02/2020,0,0,Croatia
31/01/2020,0,0,Croatia
30/01/2020,0,0,Croatia
29/01/2020,0,0,Croatia
28/01/2020,0,0,Croatia
27/01/2020,0,0,Croatia
26/01/2020,0,0,Croatia
25/01/2020,0,0,Croatia
24/01/2020,0,0,Croatia
23/01/2020,0,0,Croatia
22/01/2020,0,0,Croatia
21/01/2020,0,0,Croatia
20/01/2020,0,0,Croatia
19/01/2020,0,0,Croatia
18/01/2020,0,0,Croatia
17/01/2020,0,0,Croatia
16/01/2020,0,0,Croatia
15/01/2020,0,0,Croatia
14/01/2020,0,0,Croatia
13/01/2020,0,0,Croatia
12/01/2020,0,0,Croatia
11/01/2020,0,0,Croatia
10/01/2020,0,0,Croatia
09/01/2020,0,0,Croatia
08/01/2020,0,0,Croatia
07/01/2020,0,0,Croatia
06/01/2020,0,0,Croatia
05/01/2020,0,0,Croatia
04/01/2020,0,0,Croatia
03/01/2020,0,0,Croatia
02/01/2020,0,0,Croatia
01/01/2020,0,0,Croatia
31/12/2019,0,0,Croatia
06/04/2020,32,2,Cuba
05/04/2020,19,0,Cuba
04/04/2020,36,0,Cuba
03/04/2020,21,0,Cuba
02/04/2020,26,0,Cuba
01/04/2020,16,2,Cuba
